name,tripitaka_code,volume_num,content_page_count,max_content_page,front_cover_count,back_cover_count,content_pages
YG_3,YG,3,28,28,0,0,"['YG_3_10', 'YG_3_11', 'YG_3_12', 'YG_3_13', 'YG_3_14', 'YG_3_15', 'YG_3_16', 'YG_3_17', 'YG_3_18', 'YG_3_19', 'YG_3_1', 'YG_3_20', 'YG_3_21', 'YG_3_22', 'YG_3_23', 'YG_3_24', 'YG_3_25', 'YG_3_26', 'YG_3_27', 'YG_3_28', 'YG_3_2', 'YG_3_3', 'YG_3_4', 'YG_3_5', 'YG_3_6', 'YG_3_7', 'YG_3_8', 'YG_3_9']"
YG_30,YG,30,28,28,1,1,"['YG_30_10', 'YG_30_11', 'YG_30_12', 'YG_30_13', 'YG_30_14', 'YG_30_15', 'YG_30_16', 'YG_30_17', 'YG_30_18', 'YG_30_19', 'YG_30_1', 'YG_30_20', 'YG_30_21', 'YG_30_22', 'YG_30_23', 'YG_30_24', 'YG_30_25', 'YG_30_26', 'YG_30_27', 'YG_30_28', 'YG_30_2', 'YG_30_3', 'YG_30_4', 'YG_30_5', 'YG_30_6', 'YG_30_7', 'YG_30_8', 'YG_30_9', 'YG_30_b1', 'YG_30_f1']"
YG_31,YG,31,42,42,1,1,"['YG_31_10', 'YG_31_11', 'YG_31_12', 'YG_31_13', 'YG_31_14', 'YG_31_15', 'YG_31_16', 'YG_31_17', 'YG_31_18', 'YG_31_19', 'YG_31_1', 'YG_31_20', 'YG_31_21', 'YG_31_22', 'YG_31_23', 'YG_31_24', 'YG_31_25', 'YG_31_26', 'YG_31_27', 'YG_31_28', 'YG_31_29', 'YG_31_2', 'YG_31_30', 'YG_31_31', 'YG_31_32', 'YG_31_33', 'YG_31_34', 'YG_31_35', 'YG_31_36', 'YG_31_37', 'YG_31_38', 'YG_31_39', 'YG_31_3', 'YG_31_40', 'YG_31_41', 'YG_31_42', 'YG_31_4', 'YG_31_5', 'YG_31_6', 'YG_31_7', 'YG_31_8', 'YG_31_9', 'YG_31_b1', 'YG_31_f1']"
YG_32,YG,32,15,15,0,1,"['YG_32_10', 'YG_32_11', 'YG_32_12', 'YG_32_13', 'YG_32_14', 'YG_32_15', 'YG_32_1', 'YG_32_2', 'YG_32_3', 'YG_32_4', 'YG_32_5', 'YG_32_6', 'YG_32_7', 'YG_32_8', 'YG_32_9', 'YG_32_b1']"
YG_4,YG,4,28,28,3,1,"['YG_4_10', 'YG_4_11', 'YG_4_12', 'YG_4_13', 'YG_4_14', 'YG_4_15', 'YG_4_16', 'YG_4_17', 'YG_4_18', 'YG_4_19', 'YG_4_1', 'YG_4_20', 'YG_4_21', 'YG_4_22', 'YG_4_23', 'YG_4_24', 'YG_4_25', 'YG_4_26', 'YG_4_27', 'YG_4_28', 'YG_4_2', 'YG_4_3', 'YG_4_4', 'YG_4_5', 'YG_4_6', 'YG_4_7', 'YG_4_8', 'YG_4_9', 'YG_4_b1', 'YG_4_f1', 'YG_4_f2', 'YG_4_f3']"
YG_5,YG,5,26,26,0,0,"['YG_5_10', 'YG_5_11', 'YG_5_12', 'YG_5_13', 'YG_5_14', 'YG_5_15', 'YG_5_16', 'YG_5_17', 'YG_5_18', 'YG_5_19', 'YG_5_1', 'YG_5_20', 'YG_5_21', 'YG_5_22', 'YG_5_23', 'YG_5_24', 'YG_5_25', 'YG_5_26', 'YG_5_2', 'YG_5_3', 'YG_5_4', 'YG_5_5', 'YG_5_6', 'YG_5_7', 'YG_5_8', 'YG_5_9']"
YG_6,YG,6,13,13,0,0,"['YG_6_10', 'YG_6_11', 'YG_6_12', 'YG_6_13', 'YG_6_1', 'YG_6_2', 'YG_6_3', 'YG_6_4', 'YG_6_5', 'YG_6_6', 'YG_6_7', 'YG_6_8', 'YG_6_9']"
YG_7,YG,7,11,11,0,0,"['YG_7_10', 'YG_7_11', 'YG_7_1', 'YG_7_2', 'YG_7_3', 'YG_7_4', 'YG_7_5', 'YG_7_6', 'YG_7_7', 'YG_7_8', 'YG_7_9']"
YG_8,YG,8,30,30,0,1,"['YG_8_10', 'YG_8_11', 'YG_8_12', 'YG_8_13', 'YG_8_14', 'YG_8_15', 'YG_8_16', 'YG_8_17', 'YG_8_18', 'YG_8_19', 'YG_8_1', 'YG_8_20', 'YG_8_21', 'YG_8_22', 'YG_8_23', 'YG_8_24', 'YG_8_25', 'YG_8_26', 'YG_8_27', 'YG_8_28', 'YG_8_29', 'YG_8_2', 'YG_8_30', 'YG_8_3', 'YG_8_4', 'YG_8_5', 'YG_8_6', 'YG_8_7', 'YG_8_8', 'YG_8_9', 'YG_8_b1']"
YG_9,YG,9,27,27,0,1,"['YG_9_10', 'YG_9_11', 'YG_9_12', 'YG_9_13', 'YG_9_14', 'YG_9_15', 'YG_9_16', 'YG_9_17', 'YG_9_18', 'YG_9_19', 'YG_9_1', 'YG_9_20', 'YG_9_21', 'YG_9_22', 'YG_9_23', 'YG_9_24', 'YG_9_25', 'YG_9_26', 'YG_9_27', 'YG_9_2', 'YG_9_3', 'YG_9_4', 'YG_9_5', 'YG_9_6', 'YG_9_7', 'YG_9_8', 'YG_9_9', 'YG_9_b1']"
