name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,end_volume,remark
GL0553,UN1593,GL0553,寶髻經四法憂波提舍,1,1,,,
GL0554,UN1597,GL0554,佛地經論,7,7,,,
GL0555,UN15771,GL0555,金剛般若論,2,2,,,
GL0556,UN1581,GL0556,能斷金剛般若波羅蜜多經論頌,1,1,,,
GL0557,UN1580,GL0557,能斷金剛般若波羅蜜多經論釋,3,3,,,
GL0558,UN1579,GL0558,金剛般若波羅蜜經論,3,3,,,
GL0559,UN1582,GL0559,金剛般若波羅蜜經破取著不壞假名論,2,2,,,
GL0560,UN1598,GL0560,文殊師利菩薩問菩提經論,2,2,,,
GL0561,UN15871,GL0561,妙法蓮華經論優波提舍,1,1,,,
GL0562,UN1599,GL0562,勝思惟梵天所問經論,4,4,,,
GL0563,UN1586,GL0563,妙法蓮華經優波提舍,2,2,,,
GL0564,UN1596,GL0564,遺敎經論,1,1,,,
GL0565,UN1591,GL0565,無量壽經優波提舍願生偈,1,1,,,
GL0566,UN1595,GL0566,涅槃經本有今無偈論,1,1,,,
GL0567,UN1594,GL0567,涅槃論,1,1,,,
GL0568,UN1601,GL0568,三具足經優波提舍,1,1,,,
GL0569,UN1600,GL0569,轉法輪經憂波提舍,1,1,,,
GL0570,UN1649,GL0570,瑜伽師地論,100,100,,,
GL0571,UN1672,GL0571,顯揚聖敎論,20,20,,,
GL0572,UN1675,GL0572,大乘阿毗達磨集論,7,7,,,
GL0573,UN1673,GL0573,顯揚聖敎論頌,1,1,,,
GL0574,UN1685,GL0574,王法正理論,1,1,,,
GL0575,UN1650,GL0575,瑜伽師地論釋,1,1,,,
GL0576,UN1676,GL0576,大乘阿毘達磨雜集論,16,16,,,
GL0577,UN1633,GL0577,中論,4,4,,,
GL0578,UN1636,GL0578,般若燈論釋,15,15,,,
GL0579,UN1638,GL0579,十二門論,1,1,,,
GL0580,UN1686,GL0580,十八空論,1,1,,,
GL0581,UN1639,GL0581,百論,2,2,,,
GL0582,UN1640,GL0582,廣百論本,1,1,,,
GL0583,UN1641,GL0583,大乘廣百論釋論,10,10,,,
GL0584,UN1588,GL0584,十住毗婆沙論,17,17,,,
GL0585,UN1730,GL0585,菩提資糧論,6,6,,,
GL0586,UN1674,GL0586,大乘莊嚴經論,13,13,,,
GL0587,UN0195,GL0587,大莊嚴論經,15,15,,,
GL0588,UN1663,GL0588,攝大乘論,3,3,,,
GL0589,,GL0589,順中論義入大般若波羅蜜經初品法門,2,2,,,
GL0590,UN1665,GL0590,攝大乘論釋,15,15,,,
GL0591,UN1664,GL0591,攝大乘論,2,2,,,
GL0592,UN1662,GL0592,攝大乘論本,3,3,,,
GL0593,UN1667,GL0593,攝大乘論釋論,10,10,,,
GL0594,UN1666,GL0594,攝大乘論釋,10,10,,,
GL0595,UN1668,GL0595,攝大乘論釋,10,10,,,
GL0596,UN1680,GL0596,佛性論,4,4,,,
GL0597,UN1670,GL0597,中邊分別論,2,2,,,
GL0598,UN1653,GL0598,決定藏論,3,3,,,
GL0599,UN1671,GL0599,辯中邊論頌,1,1,,,
GL0600,UN1681,GL0600,究竟一乘寶性論,4,4,,,
GL0601,UN1669,GL0601,辯中邊論,3,3,,,
GL0602,UN1679,GL0602,業成就論,1,1,,,
GL0603,UN1678,GL0603,大乘成業論,1,1,,,
GL0604,UN1718,GL0604,因明正理門論本,1,1,,,
GL0605,UN1661,GL0605,成唯識寶生論,5,5,,,
GL0606,UN1719,GL0606,因明正理門論,1,1,,,
GL0607,UN1720,GL0607,因明入正理論,1,1,,,
GL0608,UN1660,GL0608,唯識二十論,1,1,,,
