name,tripitaka_code,volume_num,first_page,last_page,content_page_count,front_cover_count,back_cover_count,content_pages,remark
PL_1018,PL,1018,1,22,22,0,0,"['PL_1018_1', 'PL_1018_2', 'PL_1018_3', 'PL_1018_4', 'PL_1018_5', 'PL_1018_6', 'PL_1018_7', 'PL_1018_8', 'PL_1018_9', 'PL_1018_10', 'PL_1018_11', 'PL_1018_12', 'PL_1018_13', 'PL_1018_14', 'PL_1018_15', 'PL_1018_16', 'PL_1018_17', 'PL_1018_18', 'PL_1018_19', 'PL_1018_20', 'PL_1018_21', 'PL_1018_22']",
PL_1019,PL,1019,1,24,24,0,0,"['PL_1019_1', 'PL_1019_2', 'PL_1019_3', 'PL_1019_4', 'PL_1019_5', 'PL_1019_6', 'PL_1019_7', 'PL_1019_8', 'PL_1019_9', 'PL_1019_10', 'PL_1019_11', 'PL_1019_12', 'PL_1019_13', 'PL_1019_14', 'PL_1019_15', 'PL_1019_16', 'PL_1019_17', 'PL_1019_18', 'PL_1019_19', 'PL_1019_20', 'PL_1019_21', 'PL_1019_22', 'PL_1019_23', 'PL_1019_24']",
PL_102,PL,102,1,21,21,0,0,"['PL_102_1', 'PL_102_2', 'PL_102_3', 'PL_102_4', 'PL_102_5', 'PL_102_6', 'PL_102_7', 'PL_102_8', 'PL_102_9', 'PL_102_10', 'PL_102_11', 'PL_102_12', 'PL_102_13', 'PL_102_14', 'PL_102_15', 'PL_102_16', 'PL_102_17', 'PL_102_18', 'PL_102_19', 'PL_102_20', 'PL_102_21']",
PL_1020,PL,1020,1,21,21,0,0,"['PL_1020_1', 'PL_1020_2', 'PL_1020_3', 'PL_1020_4', 'PL_1020_5', 'PL_1020_6', 'PL_1020_7', 'PL_1020_8', 'PL_1020_9', 'PL_1020_10', 'PL_1020_11', 'PL_1020_12', 'PL_1020_13', 'PL_1020_14', 'PL_1020_15', 'PL_1020_16', 'PL_1020_17', 'PL_1020_18', 'PL_1020_19', 'PL_1020_20', 'PL_1020_21']",
PL_1021,PL,1021,1,22,22,0,0,"['PL_1021_1', 'PL_1021_2', 'PL_1021_3', 'PL_1021_4', 'PL_1021_5', 'PL_1021_6', 'PL_1021_7', 'PL_1021_8', 'PL_1021_9', 'PL_1021_10', 'PL_1021_11', 'PL_1021_12', 'PL_1021_13', 'PL_1021_14', 'PL_1021_15', 'PL_1021_16', 'PL_1021_17', 'PL_1021_18', 'PL_1021_19', 'PL_1021_20', 'PL_1021_21', 'PL_1021_22']",
PL_1022,PL,1022,1,20,20,0,0,"['PL_1022_1', 'PL_1022_2', 'PL_1022_3', 'PL_1022_4', 'PL_1022_5', 'PL_1022_6', 'PL_1022_7', 'PL_1022_8', 'PL_1022_9', 'PL_1022_10', 'PL_1022_11', 'PL_1022_12', 'PL_1022_13', 'PL_1022_14', 'PL_1022_15', 'PL_1022_16', 'PL_1022_17', 'PL_1022_18', 'PL_1022_19', 'PL_1022_20']",
PL_1023,PL,1023,1,21,21,0,0,"['PL_1023_1', 'PL_1023_2', 'PL_1023_3', 'PL_1023_4', 'PL_1023_5', 'PL_1023_6', 'PL_1023_7', 'PL_1023_8', 'PL_1023_9', 'PL_1023_10', 'PL_1023_11', 'PL_1023_12', 'PL_1023_13', 'PL_1023_14', 'PL_1023_15', 'PL_1023_16', 'PL_1023_17', 'PL_1023_18', 'PL_1023_19', 'PL_1023_20', 'PL_1023_21']",
PL_1024,PL,1024,1,20,20,0,0,"['PL_1024_1', 'PL_1024_2', 'PL_1024_3', 'PL_1024_4', 'PL_1024_5', 'PL_1024_6', 'PL_1024_7', 'PL_1024_8', 'PL_1024_9', 'PL_1024_10', 'PL_1024_11', 'PL_1024_12', 'PL_1024_13', 'PL_1024_14', 'PL_1024_15', 'PL_1024_16', 'PL_1024_17', 'PL_1024_18', 'PL_1024_19', 'PL_1024_20']",
PL_1025,PL,1025,1,8,8,0,0,"['PL_1025_1', 'PL_1025_2', 'PL_1025_3', 'PL_1025_4', 'PL_1025_5', 'PL_1025_6', 'PL_1025_7', 'PL_1025_8']",
PL_1026,PL,1026,1,20,20,0,0,"['PL_1026_1', 'PL_1026_2', 'PL_1026_3', 'PL_1026_4', 'PL_1026_5', 'PL_1026_6', 'PL_1026_7', 'PL_1026_8', 'PL_1026_9', 'PL_1026_10', 'PL_1026_11', 'PL_1026_12', 'PL_1026_13', 'PL_1026_14', 'PL_1026_15', 'PL_1026_16', 'PL_1026_17', 'PL_1026_18', 'PL_1026_19', 'PL_1026_20']",
